n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
10,1,0.8,8,-1,1,GA,33548.880682594,3220718.469404068,3.349337861032432e-06,0.9999993971193665,0.05255411271185416
10,1,1,8,-1,0,HEFT,33549.157464452,3220743.7402351014,3.1813498332566173e-06,0.9999994273571937,0.07906212749077539
10,1,1,8,-1,0,GA,33550.033600699,3220827.234693324,3.1019413721676554e-06,0.9999994416507085,0.06560061489257507
10,1,1,8,-1,1,HEFT,33550.261749126,3220853.2801114703,3.6372345444154536e-06,0.9999993452979963,0.07011734254338457
10,1,1,8,-1,1,GA,33551.127274794,3220932.151935985,3.092190666737022e-06,0.9999994434058349,0.0458171582000753
10,1,2,8,-1,0,HEFT,33551.377720937,3220964.755573577,4.198238194415656e-06,0.9999992443174105,0.06728719219589284
10,1,2,8,-1,0,GA,33552.202397124,3221042.333053616,3.992626577746705e-06,0.9999992813274738,0.07628895766164562
10,1,2,8,-1,1,HEFT,33552.410296866,3221064.5956636555,4.2903313333226834e-06,0.9999992277406581,0.054857624650936083
10,1,2,8,-1,1,GA,33553.264605186,3221156.653094016,5.587983999996343e-06,0.9999989941633859,0.11173338717107624
10,1,2,8,-1,2,HEFT,33553.504457162,3221179.2251593657,5.529363283373337e-06,0.9999990047151043,0.03991697990464377
10,1,2,8,-1,2,GA,33554.282217993,3221251.2884667693,5.193222150006073e-06,0.9999990652204498,0.0929160326876258
10,1,4,8,-1,0,HEFT,33554.495177215,3221266.4485952077,4.510540383368304e-06,0.9999991881030604,0.06100754949450046
10,1,4,8,-1,0,GA,33555.296343058,3221343.6040753154,4.5420079777815974e-06,0.9999991824388983,0.059631114510462255
10,1,4,8,-1,1,HEFT,33555.511772742,3221359.773095212,3.959032555576414e-06,0.9999992873743936,0.062439627029622365
10,1,4,8,-1,1,GA,33556.268530794,3221428.754562463,3.4852204443773694e-06,0.9999993726605169,0.06503132407659619
10,1,4,8,-1,2,HEFT,33556.485613349,3221456.8195008244,4.418684666678826e-06,0.9999992046370761,0.045239415946283376
10,1,4,8,-1,2,GA,33557.302112835,3221539.026823011,4.912660316687026e-06,0.9999991157215339,0.06822495306425028
10,2,0.8,8,-1,0,HEFT,33557.620756878,3221559.1793178134,3.564167638897844e-06,0.9999993584500309,0.11242735359563509
10,2,0.8,8,-1,0,GA,33558.504987722,3221637.411461725,2.704475505541066e-06,0.9999995131945273,0.040223221818745394
10,2,0.8,8,-1,1,HEFT,33558.830098576,3221673.5780143137,3.344774033313216e-06,0.9999993979408551,0.09056987960246349
10,2,0.8,8,-1,1,GA,33559.751138683,3221762.9674021415,3.470037283356457e-06,0.999999375393484,0.04863852197089536
10,2,0.8,8,-1,2,HEFT,33560.066559633,3221793.506107375,3.5034086056031e-06,0.9999993693866499,0.10449302989227273
10,2,0.8,8,-1,2,GA,33560.929926749,3221872.407125155,2.988909205547922e-06,0.9999994619964874,0.05525119668586902
10,2,1,8,-1,0,HEFT,33561.24514471,3221905.0572351054,3.297589527776129e-06,0.999999406434061,0.07275017115526984
10,2,1,8,-1,0,GA,33562.142996376,3221992.7833455354,3.4955676278413096e-06,0.9999993707980248,0.0602479190007884
10,2,1,8,-1,1,HEFT,33562.40382396,3222013.3497682204,2.9176573721391226e-06,0.9999994748218107,0.10165353686929682
10,2,1,8,-1,1,GA,33563.324037143,3222105.321293754,3.386786566665655e-06,0.9999993903786036,0.08362174938702685
10,2,1,8,-1,2,HEFT,33563.619247535,3222133.048416866,3.3075779722922666e-06,0.9999994046361425,0.08224703941332724
