n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
10,0.1,4,8,-1,2,GA,11.812402098569601,2933.7414341372823,0.00023252594737397937,0.9999581462053674,4.2820339181154905
10,0.1,4,16,-1,0,HEFT,9.44578529983433,2981.2654853965664,0.0001508623653525032,0.9999728451429362,2.5741804484670108
10,0.1,4,16,-1,0,GA,9.798599737037057,3108.632222838653,0.00015856603014567682,0.9999714585218894,2.0091968897360757
10,0.1,4,16,-1,1,HEFT,12.160399137901171,3970.659084651137,0.00021135173774859337,0.9999619574108428,3.043210224885304
10,0.1,4,16,-1,1,GA,14.52401851617317,4726.572298577636,0.0002503825249964324,0.9999549321610864,2.960472898719204
10,0.1,4,16,-1,2,HEFT,12.064210510801544,4165.909775415169,0.00023896399965649514,0.9999569874051301,3.5453553479147053
10,0.1,4,16,-1,2,GA,12.064210510801544,4303.5238712563405,0.00025674359860238286,0.9999537872200949,3.1671562085706926
10,0.1,4,32,-1,0,HEFT,10.53107198810942,5605.436060025398,0.00020174475666555295,0.9999636866031477,2.4305732454605673
10,0.1,4,32,-1,0,GA,12.615537474781812,6840.744407305925,0.00025792997635525967,0.9999535736819909,2.2904627173666463
10,0.1,4,32,-1,1,HEFT,8.257979504369363,4402.549280084431,0.0001591066085796635,0.9999713612205534,2.028488115880215
10,0.1,4,32,-1,1,GA,10.118793115988469,5410.495118977122,0.00019701273416505797,0.9999645383366302,1.8285065302215464
10,0.1,4,32,-1,2,HEFT,11.01487525421975,5674.698387678354,0.00018669073514960869,0.9999663962322922,2.1659394278619213
10,0.1,4,32,-1,2,GA,11.727950105894152,6311.376908024142,0.00023357158493033433,0.9999579579985023,2.3013115873797334
10,0.5,0.8,8,-1,1,HEFT,26.77078305273254,4838.483739313529,0.0002930863780686312,0.9999472458434973,8.029375729517914
10,0.5,0.8,8,-1,1,GA,26.813048853499282,4869.537785881928,0.0002965743018018085,0.9999466180505426,7.439084861443664
10,0.5,0.8,8,-1,2,HEFT,19.628735641211644,3207.71434498316,0.0001709761916572148,0.999969224759069,4.266028743239484
10,0.5,0.8,8,-1,2,GA,19.628735641211644,3178.513518861085,0.00016720347510397503,0.99996990382738,2.913706372928267
10,0.5,0.8,16,-1,1,HEFT,24.44962180736714,6495.560567234383,0.00023271746514468887,0.999958111733612,4.5960836470584425
10,0.5,0.8,16,-1,1,GA,24.788765725018646,6605.902767873751,0.00023856069104265774,0.9999570599975608,3.4990904152493303
10,0.5,0.8,32,-1,0,HEFT,19.426141753716315,8753.470592024918,0.00016716177759662197,0.9999699113327057,2.5240376795374044
10,0.5,0.8,32,-1,0,GA,24.867238473809216,11259.649778770348,0.00022101165437049203,0.9999602186935104,2.148560610795683
10,0.5,0.8,32,-1,2,HEFT,18.504514348352373,8809.522593162148,0.00022012778855230456,0.9999603777830413,3.4676285750574367
10,0.5,0.8,32,-1,2,GA,23.75489049591779,11329.714695169769,0.0002852502254182607,0.9999486562775588,2.5189651165745124
10,0.5,1,8,-1,2,HEFT,11.524916453360294,2380.1956244266644,0.00016457411432869204,0.9999703770981875,3.533800801848099
10,0.5,1,8,-1,2,GA,12.801284087552869,2548.195606596577,0.00017044862198856614,0.9999693197186915,2.833870519511554
10,0.5,1,16,-1,0,HEFT,18.018288320478284,5028.0595689163365,0.0002026548076724168,0.9999635227999283,4.479191495873176
10,0.5,1,16,-1,0,GA,22.34007252513323,6167.837521140267,0.00024270589099672954,0.9999563138938865,2.7236624778122978
10,0.5,1,16,-1,2,HEFT,18.908433114696606,5177.721517642923,0.00019990986558413102,0.9999640168716031,3.3832818464302634
10,0.5,1,16,-1,2,GA,18.89765979269582,5233.755725933726,0.0002074166725757273,0.999962665695879,3.109179622211206
10,0.5,1,32,-1,1,HEFT,19.24469841672962,8771.534965458919,0.0001784975159476414,0.999967870963278,3.037824807523743
10,0.5,1,32,-1,1,GA,25.095572340122615,11378.757306701962,0.00022507203205360176,0.9999594878548697,2.4652078582613624
10,0.5,1,32,-1,2,HEFT,14.97553455840072,6895.808741648049,0.0001479591048090663,0.9999733677157799,2.4200784101439736
10,0.5,1,32,-1,2,GA,21.20872596200685,9697.56872862393,0.00020069999473040055,0.9999638746534846,2.035962528923969
10,0.5,2,4,-1,0,HEFT,13.082560056626178,2527.471780371614,0.00024541458626014954,0.9999558263501576,1.6660204835909949
10,0.5,2,4,-1,0,GA,14.962768480045565,2338.5763540873822,0.000209349285147958,0.9999623178386637,4.401319214726624
10,0.5,2,4,-1,1,HEFT,20.794827559709525,4161.038437522684,0.0004086416944000809,0.999926447200148,1.3904085027444653
10,0.5,2,4,-1,1,GA,29.72544530166322,4497.187997236433,0.00039668819415459927,0.9999285986742483,3.309871079808053
10,0.5,2,4,-1,2,HEFT,15.13066932033206,2508.4343135468107,0.00023025351242517717,0.9999585552266219,3.732683890797179
10,0.5,2,4,-1,2,GA,14.741278325458328,2432.846702618762,0.0002229024990951889,0.9999598783550574,3.206397552182003
10,0.5,2,8,-1,0,HEFT,10.553057188299828,2692.0117034053783,0.0002169144978460717,0.9999609561526186,2.7470925791026604
10,0.5,2,8,-1,0,GA,11.640955443964945,2678.8178393694343,0.00020171655255152448,0.9999636916797038,3.296412613122912
10,0.5,2,8,-1,1,HEFT,13.661549610728745,3127.304695065044,0.0002345989576789515,0.9999577730791992,4.696063688565263
10,0.5,2,8,-1,1,GA,14.054341398314007,3136.8098814123427,0.00023095518180545196,0.9999584289313758,4.1214956042747035
10,0.5,2,8,-1,2,HEFT,16.118408449963866,3647.7004984972727,0.0002713608898321372,0.9999511562327261,5.302752757700145
10,0.5,2,8,-1,2,GA,16.8251922419989,3678.5250943230203,0.0002665770851538923,0.9999520172758802,4.349442296981934
10,0.5,2,16,-1,0,HEFT,15.093387825365195,5217.149995138909,0.0002996407664946759,0.9999460661165152,4.327407626797541
10,0.5,2,16,-1,0,GA,15.501463831018391,5413.194931637699,0.0003148467540157839,0.9999433291901281,4.103071286515508
10,0.5,2,16,-1,1,HEFT,10.712729722862566,3293.45168885975,0.00015976842145609007,0.9999712420976543,3.0354366412228684
10,0.5,2,16,-1,1,GA,11.81963514537847,3507.5965293525824,0.0001599775945012812,0.9999712044475897,2.3435061502420513
10,0.5,2,16,-1,2,HEFT,9.941736263376816,3233.307392612744,0.00017112325969565836,0.9999691982876372,2.8371605926515797
10,0.5,2,16,-1,2,GA,9.941736263376816,3232.3269815069384,0.00017099659159413306,0.9999692210871935,2.508678320291317
10,0.5,2,32,-1,0,HEFT,10.2415206467444,5524.072444259562,0.00020559799947153902,0.9999629930448694,2.3871592151175562
10,0.5,2,32,-1,0,GA,11.395249853297948,6199.433382375016,0.00023561465616390228,0.9999575902612088,2.288595354555192
10,0.5,2,32,-1,1,HEFT,13.034963594913501,6788.547371175016,0.00023037743549460352,0.999958532921394,2.684116574705528
10,0.5,2,32,-1,1,GA,13.72052550007934,7125.669191052801,0.00023992085258686492,0.9999568151790257,2.342079429809472
10,0.5,2,32,-1,2,HEFT,9.229555772212176,4687.948909040275,0.00014777771221069757,0.9999734003655787,2.0218822031798616
10,0.5,2,32,-1,2,GA,10.076144129107167,5020.176238918698,0.00014869985702087153,0.9999732343839417,1.455255619253105
10,0.5,4,4,-1,0,HEFT,16.488356516662858,3234.4661303866746,0.0003156363071817645,0.9999431870786225,0.8982051157440354
